"GEOID","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'010539707001",697,19.901,697,19.901,697,19.901,35.023
"'011250101023",703,1.642,703,1.642,703,1.642,428.232
"'010510309013",0,0,574,60.008,574,60.008,9.565
"'010730100013",0,0,451,101.998,451,101.998,4.422
"'010970069041",0,0,0,0,0,0,4.822
"'010550008002",0,0,0,0,0,0,0.876
"'010890106263",0,0,0,0,0,0,3.231
"'010730005004",0,0,0,0,0,0,2.245
"'010330209013",629,9.652,629,9.652,629,9.652,65.171
"'010690403021",0,0,0,0,642,90.724,7.076
"'011010056092",0,0,0,0,0,0,1.707
"'011210120002",0,0,0,0,0,0,0.88
"'010499611002",0,0,457,120.897,457,120.897,3.78
"'010150003002",0,0,0,0,0,0,1.233
"'010770111011",0,0,0,0,0,0,2.678
"'011170303051",0,0,0,0,0,0,1.452
"'011030001004",0,0,0,0,0,0,0.5
"'011250123062",0,0,0,0,0,0,2.341
"'010139531002",299,52.336,299,52.336,299,52.336,5.713
"'010970032031",0,0,0,0,0,0,1.207
"'010890110233",0,0,0,0,0,0,2.76
"'010479565004",0,0,0,0,0,0,0.529
"'010730106043",0,0,0,0,0,0,0.515
"'010330207042",0,0,0,0,0,0,2.205
"'010730011006",0,0,0,0,0,0,0.889
"'010730045022",0,0,0,0,0,0,0.13
"'011250119014",0,0,0,0,0,0,0.335
"'010970027001",0,0,0,0,0,0,1.535
"'010730023063",0,0,0,0,0,0,1.896
"'010690412001",0,0,0,0,0,0,1.034
"'010479568001",0,0,0,0,303,117.971,2.568
"'010730123063",0,0,0,0,0,0,1.505
"'010139531001",0,0,0,0,0,0,1.239
"'010730107053",0,0,0,0,0,0,0.578
"'010970005001",0,0,0,0,0,0,2.081
"'010439655022",572,26.655,572,26.655,572,26.655,21.459
"'010330206003",0,0,0,0,0,0,1.418
"'011091891012",0,0,0,0,0,0,1.479
"'010730056003",0,0,0,0,0,0,0.936
"'010890029232",0,0,0,0,0,0,1.688
"'010730121043",0,0,0,0,0,0,1.612
"'010259580032",788,1.694,788,1.694,788,1.694,465.217
"'011250123043",0,0,0,0,0,0,0.542
"'010810421032",467,22.031,467,22.031,467,22.031,21.197
"'010970024002",0,0,0,0,0,0,0.722
"'010872319002",0,0,523,69.999,523,69.999,7.471
"'011056868001",725,1.058,725,1.058,725,1.058,685.488
"'010810412002",0,0,0,0,0,0,0.833
"'010730136015",0,0,0,0,0,0,0.826
"'010730125001",0,0,0,0,331,120.972,2.736
"'011250120012",0,0,0,0,0,0,0.573
"'010830204021",619,29.899,619,29.899,619,29.899,20.703
"'010890013021",0,0,0,0,0,0,2.411
"'010890025011",0,0,0,0,0,0,1.839
"'010950308041",0,0,0,0,526,101.966,5.159
"'011250104033",0,0,0,0,0,0,1.299
"'010890105045",421,98.044,421,98.044,421,98.044,4.294
"'010970008012",0,0,0,0,0,0,1.018
"'010970024003",0,0,0,0,0,0,1.153
"'010890029113",0,0,0,0,0,0,1.183
"'010810417022",0,0,0,0,0,0,1.146
"'010890028032",0,0,0,0,0,0,2.063
"'010730050001",0,0,0,0,0,0,0.418
"'011010023002",0,0,0,0,0,0,0.674
"'010730012004",0,0,0,0,0,0,0.546
"'010239568002",697,3.028,697,3.028,697,3.028,230.173
"'011170306151",0,0,821,50.093,821,50.093,16.39
"'010770116051",694,50.216,694,50.216,694,50.216,13.82
"'010730047012",0,0,0,0,0,0,0.35
"'010810404021",0,0,0,0,0,0,1.311
"'010690407001",0,0,0,0,0,0,0.762
"'010970034023",0,0,0,0,213,96.847,2.199
"'010830202012",340,34.257,340,34.257,340,34.257,9.925
"'011010026003",0,0,0,0,0,0,1.132
"'011150402121",364,35.154,364,35.154,364,35.154,10.355
"'010830207002",0,0,0,0,239,31.123,7.679
"'010550017001",358,72.603,358,72.603,358,72.603,4.931
"'010010205033",0,0,0,0,0,0,1.313
"'010810411023",0,0,0,0,0,0,1.528
"'010030115032",0,0,0,0,0,0,6.524
"'010730030024",0,0,0,0,0,0,0.38
"'010970007011",0,0,0,0,0,0,0.456
"'010970064114",0,0,0,0,0,0,0.846
"'010730129191",0,0,0,0,0,0,0.276
"'010810414002",0,0,0,0,0,0,0.649
"'010479568002",0,0,0,0,214,48.853,4.38
"'010970071013",0,0,0,0,0,0,1.828
"'010950309044",0,0,0,0,0,0,2.762
"'010730056004",0,0,0,0,0,0,0.987
"'010890106233",0,0,0,0,0,0,5.202
"'010730106044",0,0,0,0,0,0,0.368
"'010970004011",38,70.683,38,70.683,38,70.683,0.538
"'010970034082",0,0,0,0,0,0,1.035
"'010599730003",0,0,0,0,0,0,2.522
"'010690403022",0,0,0,0,0,0,2.98
"'010970019023",0,0,0,0,0,0,1.872
"'010059509001",615,61.276,615,61.276,615,61.276,10.037
"'010030115042",0,0,0,0,0,0,5.003
"'010199558011",636,10.747,636,10.747,636,10.747,59.181
"'010730040001",0,0,0,0,0,0,0.671
"'011010012002",0,0,0,0,0,0,0.566
