"GEOID","HighSewer","MedSewer","LowSewer"
"'010539707001","NO","NO","NO"
"'011250101023","NO","NO","NO"
"'010510309013","YES","NO","NO"
"'010730100013","YES","NO","NO"
"'010970069041","YES","YES","YES"
"'010550008002","YES","YES","YES"
"'010890106263","YES","YES","YES"
"'010730005004","YES","YES","YES"
"'010330209013","NO","NO","NO"
"'010690403021","YES","YES","NO"
"'011010056092","YES","YES","YES"
"'011210120002","YES","YES","YES"
"'010499611002","YES","NO","NO"
"'010150003002","YES","YES","YES"
"'010770111011","YES","YES","YES"
"'011170303051","YES","YES","YES"
"'011030001004","YES","YES","YES"
"'011250123062","YES","YES","YES"
"'010139531002","NO","NO","NO"
"'010970032031","YES","YES","YES"
"'010890110233","YES","YES","YES"
"'010479565004","YES","YES","YES"
"'010730106043","YES","YES","YES"
"'010330207042","YES","YES","YES"
"'010730011006","YES","YES","YES"
"'010730045022","YES","YES","YES"
"'011250119014","YES","YES","YES"
"'010970027001","YES","YES","YES"
"'010730023063","YES","YES","YES"
"'010690412001","YES","YES","YES"
"'010479568001","YES","YES","NO"
"'010730123063","YES","YES","YES"
"'010139531001","YES","YES","YES"
"'010730107053","YES","YES","YES"
"'010970005001","YES","YES","YES"
"'010439655022","NO","NO","NO"
"'010330206003","YES","YES","YES"
"'011091891012","YES","YES","YES"
"'010730056003","YES","YES","YES"
"'010890029232","YES","YES","YES"
"'010730121043","YES","YES","YES"
"'010259580032","NO","NO","NO"
"'011250123043","YES","YES","YES"
"'010810421032","NO","NO","NO"
"'010970024002","YES","YES","YES"
"'010872319002","YES","NO","NO"
"'011056868001","NO","NO","NO"
"'010810412002","YES","YES","YES"
"'010730136015","YES","YES","YES"
"'010730125001","YES","YES","NO"
"'011250120012","YES","YES","YES"
"'010830204021","NO","NO","NO"
"'010890013021","YES","YES","YES"
"'010890025011","YES","YES","YES"
"'010950308041","YES","YES","NO"
"'011250104033","YES","YES","YES"
"'010890105045","NO","NO","NO"
"'010970008012","YES","YES","YES"
"'010970024003","YES","YES","YES"
"'010890029113","YES","YES","YES"
"'010810417022","YES","YES","YES"
"'010890028032","YES","YES","YES"
"'010730050001","YES","YES","YES"
"'011010023002","YES","YES","YES"
"'010730012004","YES","YES","YES"
"'010239568002","NO","NO","NO"
"'011170306151","YES","NO","NO"
"'010770116051","NO","NO","NO"
"'010730047012","YES","YES","YES"
"'010810404021","YES","YES","YES"
"'010690407001","YES","YES","YES"
"'010970034023","YES","YES","NO"
"'010830202012","NO","NO","NO"
"'011010026003","YES","YES","YES"
"'011150402121","NO","NO","NO"
"'010830207002","YES","YES","NO"
"'010550017001","NO","NO","NO"
"'010010205033","YES","YES","YES"
"'010810411023","YES","YES","YES"
"'010030115032","YES","YES","YES"
"'010730030024","YES","YES","YES"
"'010970007011","YES","YES","YES"
"'010970064114","YES","YES","YES"
"'010730129191","YES","YES","YES"
"'010810414002","YES","YES","YES"
"'010479568002","YES","YES","NO"
"'010970071013","YES","YES","YES"
"'010950309044","YES","YES","YES"
"'010730056004","YES","YES","YES"
"'010890106233","YES","YES","YES"
"'010730106044","YES","YES","YES"
"'010970004011","NO","NO","NO"
"'010970034082","YES","YES","YES"
"'010599730003","YES","YES","YES"
"'010690403022","YES","YES","YES"
"'010970019023","YES","YES","YES"
"'010059509001","NO","NO","NO"
"'010030115042","YES","YES","YES"
"'010199558011","NO","NO","NO"
"'010730040001","YES","YES","YES"
"'011010012002","YES","YES","YES"
"'010150012011","YES","YES","YES"
"'011170303141","YES","YES","YES"
"'010330202002","YES","YES","YES"
"'010730106051","YES","YES","YES"
"'010479563001","YES","YES","YES"
"'010199560003","NO","NO","NO"
"'010450214003","NO","NO","NO"
"'011030053031","YES","YES","YES"
"'010970010021","YES","YES","YES"
"'010970035013","YES","YES","YES"
"'010730102002","YES","YES","YES"
"'011010018003","YES","YES","YES"
"'011010012001","YES","YES","YES"
"'010970019022","YES","YES","YES"
"'010439648004","YES","YES","YES"
"'010970034051","YES","YES","YES"
"'010730111083","YES","YES","YES"
"'011250117031","YES","YES","YES"
"'010890009013","YES","YES","YES"
"'011010018002","YES","YES","YES"
"'010890006011","YES","YES","YES"
"'010970040002","YES","YES","YES"
"'010970049003","YES","YES","YES"
"'010890007011","YES","YES","YES"
"'010719504002","NO","NO","NO"
"'010730030023","YES","YES","YES"
"'010950304014","NO","NO","NO"
"'010150011012","NO","NO","NO"
"'010730129202","YES","YES","YES"
"'010890109032","YES","NO","NO"
"'010510308011","YES","YES","YES"
"'010510310011","YES","YES","YES"
"'010479564002","YES","YES","YES"
"'010950307023","NO","NO","NO"
"'010810406032","YES","YES","YES"
"'010970039011","YES","YES","YES"
"'010730132003","YES","YES","YES"
"'010730144052","YES","YES","YES"
"'010990756001","NO","NO","NO"
"'010730128043","YES","YES","YES"
"'010030114091","NO","NO","NO"
"'010730115003","NO","NO","NO"
"'010970013022","YES","YES","YES"
"'010890108012","YES","YES","YES"
"'011170302162","YES","YES","YES"
"'010970007013","YES","YES","YES"
"'011170306101","YES","YES","YES"
"'010990759022","YES","YES","YES"
"'010690403013","YES","YES","YES"
"'010479570001","NO","NO","NO"
"'010730004003","YES","YES","YES"
"'010570202003","YES","YES","YES"
"'010799795023","NO","NO","NO"
"'010890030002","YES","YES","YES"
"'011010019001","YES","YES","YES"
"'010730045021","YES","YES","YES"
"'010730027022","YES","YES","YES"
"'010179543004","YES","YES","YES"
"'010719506022","YES","NO","NO"
"'010730107031","YES","YES","YES"
"'010890020001","YES","YES","YES"
"'010690408012","NO","NO","NO"
"'010810413003","YES","YES","YES"
"'010550005001","YES","YES","YES"
"'010730053021","YES","YES","YES"
"'010150012022","YES","YES","YES"
"'010970009021","YES","YES","YES"
"'010730023052","YES","YES","YES"
"'010730057013","YES","YES","YES"
"'010970035012","YES","YES","YES"
"'010310113002","YES","YES","YES"
"'011010022012","YES","YES","YES"
"'010890105041","YES","YES","YES"
"'010730142062","YES","YES","YES"
"'010890112022","YES","YES","YES"
"'010890019013","YES","YES","YES"
"'010730130021","YES","YES","YES"
"'010150015012","YES","YES","NO"
"'011130304031","YES","YES","YES"
"'011030001002","YES","YES","YES"
"'011010017004","YES","YES","YES"
"'010730051044","YES","YES","YES"
"'010970033021","YES","YES","YES"
"'010970051001","YES","YES","YES"
"'010439648001","YES","YES","NO"
"'010890104041","NO","NO","NO"
"'010730133002","YES","YES","YES"
"'010030109032","YES","YES","YES"
"'010730116003","NO","NO","NO"
"'010030101001","NO","NO","NO"
"'010770111021","YES","YES","YES"
"'010330207061","NO","NO","NO"
"'010890005021","YES","YES","YES"
"'010730100022","YES","YES","YES"
"'011270203012","NO","NO","NO"
"'010970069043","YES","YES","YES"
"'010810416003","YES","YES","YES"
"'010890106232","YES","YES","YES"
"'010499611001","YES","NO","NO"
"'010730111081","YES","YES","YES"
"'010950311004","YES","YES","YES"
"'010330206004","YES","YES","YES"
"'010970036021","YES","YES","YES"
"'011010005002","YES","YES","YES"
"'010830208052","YES","NO","NO"
"'010730027012","YES","YES","YES"
"'010010205011","YES","YES","YES"
"'011130305002","YES","YES","YES"
"'010150021013","YES","YES","YES"
"'010830210001","YES","YES","YES"
"'011239621003","YES","YES","YES"
"'010970065031","YES","YES","YES"
"'010810420053","YES","YES","YES"
"'010890105044","YES","NO","NO"
"'010730103021","YES","YES","YES"
"'010479570002","NO","NO","NO"
"'010890014032","YES","YES","YES"
"'010890103032","NO","NO","NO"
"'010030111042","YES","YES","NO"
"'010730144101","YES","YES","YES"
"'010890029122","YES","YES","NO"
"'010730144043","YES","YES","YES"
"'010890106302","YES","YES","YES"
"'011010023001","YES","YES","YES"
"'010730111133","YES","YES","YES"
"'011010054104","YES","YES","YES"
"'010970037081","YES","YES","YES"
"'011250124033","YES","YES","YES"
"'010830201012","NO","NO","NO"
"'010479562021","NO","NO","NO"
"'010030112023","YES","YES","YES"
"'010730038031","YES","YES","YES"
"'010310109001","YES","NO","NO"
"'010890005011","YES","YES","YES"
"'010730035002","YES","YES","NO"
"'010730109005","YES","YES","YES"
"'010499613003","YES","YES","YES"
"'010970002001","YES","YES","YES"
"'010330203003","YES","YES","YES"
"'011210109001","YES","YES","YES"
"'011010006002","YES","YES","YES"
"'010550007002","YES","YES","YES"
"'010890023003","YES","YES","YES"
"'011010028002","YES","YES","YES"
"'011010056062","YES","YES","YES"
"'010890105032","YES","YES","NO"
"'010499609004","YES","YES","NO"
"'010970036063","YES","YES","YES"
"'011030051073","YES","YES","NO"
"'010770111023","YES","YES","YES"
"'010030107112","YES","YES","YES"
"'010030109072","YES","NO","NO"
"'010030114192","YES","YES","YES"
"'010030107062","YES","YES","YES"
"'010030114093","NO","NO","NO"
"'010030114193","YES","YES","YES"
"'010030107072","YES","YES","YES"
"'010030114141","YES","YES","YES"
"'011130304032","YES","YES","YES"
"'011130309072","NO","NO","NO"
"'011130309041","YES","YES","YES"
"'010650404012","NO","NO","NO"
"'010439649011","YES","YES","YES"
"'010439650024","YES","YES","YES"
"'010439650021","YES","YES","YES"
"'011270203023","YES","YES","YES"
"'011250123071","YES","YES","YES"
"'011250108022","YES","YES","YES"
"'011250106031","NO","NO","NO"
"'011250102044","YES","YES","YES"
"'011250121022","YES","YES","YES"
"'011250124082","YES","YES","YES"
"'011250116001","YES","YES","YES"
"'011091891013","YES","YES","YES"
"'010070100101","NO","NO","NO"
"'010210601043","YES","YES","YES"
"'010259576042","YES","NO","NO"
"'010479573011","YES","NO","NO"
"'010919730024","NO","NO","NO"
"'011070504021","NO","NO","NO"
"'010990759023","NO","NO","NO"
"'010310112063","YES","YES","YES"
"'010690402053","YES","YES","YES"
"'010010208052","NO","NO","NO"
"'010510310012","YES","NO","NO"
"'010499603011","NO","NO","NO"
"'010330207051","NO","NO","NO"
"'010330207062","NO","NO","NO"
"'010330207034","YES","YES","YES"
"'010810411011","YES","NO","NO"
"'010810419023","NO","NO","NO"
"'010810418021","NO","NO","NO"
"'010810420054","YES","YES","YES"
"'010810417032","NO","NO","NO"
"'010810420033","NO","NO","NO"
"'010810403003","YES","YES","YES"
"'010810404011","YES","YES","YES"
"'010810408011","YES","YES","YES"
"'010810411041","YES","YES","YES"
"'011030009004","YES","YES","YES"
"'011030057032","NO","NO","NO"
"'011030053033","YES","YES","YES"
"'011030053034","YES","YES","YES"
"'010830208031","NO","NO","NO"
"'010830202013","NO","NO","NO"
"'010830212011","YES","YES","YES"
"'010179539002","NO","NO","NO"
"'010150025032","NO","NO","NO"
"'010179548003","YES","YES","YES"
"'010150018022","YES","YES","YES"
"'010150011032","YES","YES","YES"
"'010150015011","YES","YES","NO"
"'010150021043","YES","YES","YES"
"'010550102022","YES","NO","NO"
"'010599737022","NO","NO","NO"
"'011150405072","NO","NO","NO"
"'011150401072","YES","YES","YES"
"'011150402113","YES","YES","YES"
"'011150402133","NO","NO","NO"
"'010550105031","NO","NO","NO"
"'010939640012","NO","NO","NO"
"'010770116061","NO","NO","NO"
"'010770111014","YES","YES","YES"
"'010770109022","YES","YES","YES"
"'010770109021","YES","YES","YES"
"'011010059031","NO","NO","NO"
"'011010033031","YES","YES","YES"
"'011010029021","YES","YES","YES"
"'011010056142","YES","YES","YES"
"'011010033043","YES","YES","YES"
"'011010028004","YES","YES","YES"
"'011010056141","YES","YES","YES"
"'010970056021","YES","YES","NO"
"'010970002002","YES","YES","YES"
"'010970037121","YES","YES","YES"
"'010970034102","YES","YES","YES"
"'010970033013","YES","YES","YES"
"'010970064102","YES","YES","YES"
"'010970061033","NO","NO","NO"
"'010970037112","YES","YES","YES"
"'010970037122","YES","YES","YES"
"'010970069031","YES","YES","YES"
"'010970034063","YES","YES","YES"
"'010970067041","YES","NO","NO"
"'010970071022","YES","NO","NO"
"'010719501011","NO","NO","NO"
"'010950308044","YES","YES","YES"
"'010970037043","YES","YES","YES"
"'010970064092","YES","YES","YES"
"'010970037123","YES","YES","YES"
"'010950302041","NO","NO","NO"
"'010950304011","YES","YES","YES"
"'010730142072","NO","NO","NO"
"'010730142083","YES","YES","YES"
"'010730045011","YES","YES","YES"
"'010730024011","YES","YES","YES"
"'010730144083","YES","YES","YES"
"'010730111172","YES","YES","YES"
