"huc12","name","tohuc","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'070200090402","Judicial Ditch Number Thirteen","'070200090403",51,0.954,51,0.954,51,0.954,53.465
"'070200030503","West Branch Lac qui Parle River","'070200030705",785,18.449,785,18.449,785,18.449,42.55
"'070200030602","County Ditch Number Thirtyfour","'070200030603",77,1.223,77,1.223,77,1.223,62.974
"'030701040701","Upper Horse Creek","'030701040702",482,3.838,482,3.838,482,3.838,125.587
"'030701040506","Crooked Creek","'030701040507",389,3.333,389,3.333,389,3.333,116.711
"'030701040603","Mizell Creek-Ocmulgee River","'030701040802",457,2.299,457,2.299,457,2.299,198.762
"'070200030701","County Ditch Number Twentynine A","'070200030702",85,1.026,85,1.026,85,1.026,82.87
"'070300040804","Bear Creek-Snake River","'070300050201",646,6.697,646,6.697,646,6.697,96.457
"'030701040702","Middle Horse Creek","'030701040703",362,2.44,362,2.44,362,2.44,148.347
"'070200030702","County Ditch Number Seventynine-Lac qui Parle River","'070200030705",131,1.287,131,1.287,131,1.287,101.75
"'070200041102","County Ditch Number Fiftynine","'070200041103",120,2.917,120,2.917,120,2.917,41.139
"'030701040804","Gregeory Creek-Ocmulgee River","'030701040805",550,2.31,550,2.31,550,2.31,238.132
"'030701040805","Coffee Branch-Ocmulgee River","'030701040806",64,0.524,64,0.524,64,0.524,122.038
"'030701040806","Opossum Creek-Ocmulgee River","'030701040807",603,3.046,603,3.046,603,3.046,197.934
"'070200090401","Drainage Ditch Number 21","'070200090404",234,3.243,234,3.243,234,3.243,72.144
"'030901011102","Tiger Lake","'030901011103",199,2.867,199,2.867,199,2.867,69.417
"'070200090403","County Ditch Number Seventyeight-Judicial Ditch Number Thirteen","'070200090404",85,1.068,85,1.068,85,1.068,79.577
"'030901010902","030901010902","'030901010903",345,5.185,345,5.185,345,5.185,66.538
"'070300040601","Headwaters Mud Creek","'070300040602",159,3.476,159,3.476,159,3.476,45.74
"'070300040602","Mud Lake-Mud Creek","'070300040603",542,5.942,542,5.942,542,5.942,91.21
"'070200010901","Punished Womans Lake","'070200010903",173,2.865,173,2.865,173,2.865,60.388
"'070200050503","Lower Judicial Ditch Number Nineteen","'070200050606",74,2.578,74,2.578,74,2.578,28.707
"'070200050605","County Ditch Number Eight-East Branch Chippewa River","'070200050606",187,1.224,187,1.224,187,1.224,152.741
"'070200110508","Judicial Ditch Number Fortynine","'070200110509",364,5.177,364,5.177,364,5.177,70.306
"'070200010405","Hartford Beach Creek","'070200010408",36,1.248,36,1.248,36,1.248,28.848
"'070200050604","County Ditch Number Fifteen","'070200050605",214,1.225,214,1.225,214,1.225,174.663
"'070900070103","070900070103-Green River","'070900070105",90,1.45,90,1.45,90,1.45,62.087
"'070300050401","Forest Lake-Sunrise River","'070300050403",1577,36.308,1577,36.308,2165,49.846,43.434
"'070900070402","Fairfield Ditch Number 1-Green River","'070900070405",176,1.952,176,1.952,176,1.952,90.163
"'070700010403","Little Saint Germain Creek","'070700010404",794,15.787,794,15.787,794,15.787,50.296
"'070700010201","Headwaters Eagle River","'070700010203",51,0.532,51,0.532,51,0.532,95.916
"'070700011004","Lake Nokomis-Tomahawk River","'070700011306",1475,19.686,1475,19.686,1475,19.686,74.925
"'070700011102","Headwaters Somo River","'070700011104",307,2.419,307,2.419,307,2.419,126.914
"'070700010501","Lost Creek","'070700010502",414,7.173,414,7.173,414,7.173,57.718
"'070700010502","Big Saint Germain Lake-Saint Germain River","'070700010503",1154,9.215,1154,9.215,1154,9.215,125.228
"'070700010603","Rhinelander Flowage-Wisconsin River","'070700011302",1715,15.658,1715,15.658,1715,15.658,109.529
"'070700010705","Headwaters North Branch Pelican River","'070700010706",597,8.559,597,8.559,597,8.559,69.748
"'070700010801","Big Arbor Vitae Lake","'070700010803",312,5.485,312,5.485,312,5.485,56.884
"'070700011204","Spirit River Flowage-Spirit River","'070700011306",553,3.542,553,3.542,553,3.542,156.108
"'070200070901","Upper Minneopa Creek","'070200070903",394,3.208,394,3.208,394,3.208,122.825
"'070200070903","Lower Minneopa Creek","'070200071003",176,4.229,176,4.229,176,4.229,41.618
"'070300051102","Twin Lakes","'CLOSED BASIN",406,10.353,406,10.353,406,10.353,39.218
"'070200071003","Minnewankon Falls-Minnesota River","'070200071102",470,4.935,470,4.935,470,4.935,95.247
"'070300020404","Birch Island Lake","'CLOSED BASIN",830,14.858,830,14.858,830,14.858,55.863
"'070300050203","Rush Lake-Rush Creek","'070300050204",976,10.689,976,10.689,976,10.689,91.31
"'070300050707","Burns Creek-Apple River","'070300050708",1156,10.638,1156,10.638,1156,10.638,108.662
"'070300050502","North Fork Trade River","'070300050503",157,3.565,157,3.565,157,3.565,44.039
"'070300050705","South Branch Beaver Brook","'070300050706",730,10.306,730,10.306,730,10.306,70.835
"'070300011004","Little Hay Creek-Hay Creek","'070300011005",313,4.167,313,4.167,313,4.167,75.122
"'070300050805","South Fish Lake","'CLOSED BASIN",155,6.175,155,6.175,155,6.175,25.103
"'070300010106","Lower Eau Claire River","'070300010107",420,4.399,420,4.399,420,4.399,95.478
"'070300010107","Lord Creek-Saint Croix River","'070300010204",294,2.679,294,2.679,294,2.679,109.728
"'070300020206","Little Mackay Creek","'070300020207",277,2.895,277,2.895,277,2.895,95.685
"'070300020302","Nelson Lake-Totagatic River","'070300020306",532,5.366,532,5.366,532,5.366,99.138
"'070300020304","Outlet Ounce River","'070300020306",128,1.382,128,1.382,128,1.382,92.62
"'070300020307","Shell Creek","'070300020308",653,13.469,653,13.469,653,13.469,48.482
"'070300050808","Squaw Lake","'CLOSED BASIN",284,8.543,284,8.543,284,8.543,33.245
"'070300051004","South Fork Willow River","'070300051007",380,4.026,380,4.026,380,4.026,94.394
"'070200080203","Town of Amiret","'070200080204",108,1.72,108,1.72,108,1.72,62.793
"'070300051005","Oak Ridge Lake","'CLOSED BASIN",276,7.87,276,7.87,276,7.87,35.072
"'070200030204","Judicial Ditch Number One","'070200030205",71,1.256,71,1.256,71,1.256,56.513
"'070300010504","Yellow Lake-Yellow River","'070300010506",1534,19.085,1534,19.085,1534,19.085,80.375
"'070300030103","West Branch Kettle River","'070300030104",99,0.974,99,0.974,99,0.974,101.592
"'070300030101","Kettle Lake","'070300030102",17,0.359,17,0.359,17,0.359,47.341
"'070300010904","Clam Lake-Clam River","'070300010905",1191,13.867,1191,13.867,1191,13.867,85.889
"'070300020104","070300020104","'CLOSED BASIN",28,2.075,28,2.075,28,2.075,13.492
"'070200070501","County Ditch Number Thirtyfour","'070200070502",69,1.175,69,1.175,69,1.175,58.72
"'070300030205","Outlet Moose Horn River","'070300030601",1293,16.116,1293,16.116,1293,16.116,80.233
"'070300010105","Upper Eau Claire River","'070300010106",854,9.06,854,9.06,854,9.06,94.262
"'070300010604","Bjorks Creek-Hay Creek","'070300010605",105,0.781,105,0.781,105,0.781,134.436
"'070200080301","Headwaters Plum Creek","'070200080303",81,1.084,81,1.084,81,1.084,74.757
"'070400080902","Crystal Creek","'070400080904",97,2.322,97,2.322,97,2.322,41.77
"'070300030201","Headwaters Moose Horn River","'070300030203",548,4.61,548,4.61,548,4.61,118.874
"'070300020311","Fivemile Creek-Totagatic River","'070300020406",579,4.992,579,4.992,579,4.992,115.988
"'070300010101","Shunenberg Creek","'CLOSED BASIN",242,1.159,242,1.159,242,1.159,208.772
"'070300010103","Lower Ox Creek","'070300010107",271,1.931,271,1.931,271,1.931,140.318
"'070300010104","Headwaters Saint Croix River","'070300010107",989,10.641,989,10.641,989,10.641,92.94
"'070300020101","Namekagon Lake-Namekagon River","'070300020103",615,4.998,615,4.998,615,4.998,123.058
"'070400030605","Rose Valley","'070400030606",483,12.355,483,12.355,483,12.355,39.093
"'070200040604","Judicial Ditch Number Seventeen","'070200040605",86,1.516,86,1.516,86,1.516,56.741
"'070400050201","North Branch Trempealeau River","'070400050203",150,2.676,150,2.676,150,2.676,56.062
"'070400050202","South Branch Trempealeau River","'070400050203",185,3.202,185,3.202,185,3.202,57.772
"'070200110505","Lower County Ditch Number Three","'070200110506",115,1.369,115,1.369,115,1.369,84.006
"'070200110507","County Ditch Number Thirtyfive-Maple River","'070200110509",181,1.701,181,1.701,181,1.701,106.429
"'070400010206","Town of Pine Bend","'070400010209",1545,11.975,1897,14.704,2128,16.494,129.016
"'070400020103","County Ditch Number Fiftynine","'070400020104",914,8.364,914,8.364,914,8.364,109.282
"'070400020201","Clear Lake-Crane Creek","'070400020203",981,11.297,1542,17.757,1542,17.757,86.841
"'070400040302","County Ditch Number One","'070400040303",62,1.529,62,1.529,62,1.529,40.542
"'070400010202","Marion Lake","'070400010204",1166,19.983,1218,20.874,1218,20.874,58.349
"'070400010203","Farquar Lake","'070400010204",104,0.876,853,7.187,1390,11.712,118.686
"'070200090906","Judicial Ditch Number Three","'070200090907",229,3.969,229,3.969,229,3.969,57.696
"'070400020202","Judicial Ditch Number One","'070400020203",158,3.096,158,3.096,158,3.096,51.04
"'070400020203","Judicial Ditch Number One-Crane Creek","'070400020309",401,2.969,401,2.969,401,2.969,135.05
"'070400020305","County Ditch Number Five-Straight River","'070400020307",336,3.272,336,3.272,336,3.272,102.687
"'070400030604","City of Buffalo City-Mississippi River","'070400030606",1094,9.512,1094,9.512,1094,9.512,115.015
"'070400020902","City of Miesville","'070400020903",369,5.031,369,5.031,369,5.031,73.351
"'070400040511","Hope Coulee-Trout Brook","'070400040512",94,1.68,94,1.68,94,1.68,55.946
"'070200051001","Town of Gracelock","'070200051003",64,0.865,64,0.865,64,0.865,73.988
"'070200051002","Saint Paul's Evangelical Lutheran Cemetery","'070200051003",46,0.709,46,0.709,46,0.709,64.875
"'070200060602","Judicial Ditch Number Thirtythree","'070200060603",57,1.01,57,1.01,57,1.01,56.423
"'070400040105","Badger Run","'070400040106",709,16.844,709,16.844,960,22.807,42.092
"'070200090101","Drainage Ditch Number 80","'070200090102",141,1.953,141,1.953,141,1.953,72.201
"'070200090102","Smith Pool-Union Slough Ditch","'070200090104",110,1.082,110,1.082,110,1.082,101.71
"'070200090301","Drainage Ditch Number Seven","'070200090302",631,13.084,631,13.084,631,13.084,48.227
"'070400080102","Evanger Cemetery","'070400080104",80,1.488,80,1.488,80,1.488,53.769
"'070200090201","Ditch Number 60","'070200090202",76,1.155,76,1.155,76,1.155,65.783
"'070200090202","Judicial Ditch Number 7","'070200090203",86,1.076,86,1.076,86,1.076,79.95
"'070200040801","County Ditch Number Eight","'070200040803",278,2.9,278,2.9,278,2.9,95.855
"'070400030102","South Fork Buffalo River","'070400030103",843,8.292,843,8.292,843,8.292,101.662
"'070400040305","Harkcom Creek-Middle Fork Zumbro River","'070400040307",928,12.358,928,12.358,928,12.358,75.091
"'070400040404","Trout Brook","'070400040405",756,5.234,756,5.234,756,5.234,144.429
"'070101060504","Lake Belle Taine","'CLOSED BASIN",1194,18.989,1194,18.989,1194,18.989,62.879
"'070400040508","Hungry Hollow","'070400040509",178,2.5,178,2.5,178,2.5,71.206
"'070200050704","Judicial Ditch Number Nine","'070200050705",515,3.607,515,3.607,515,3.607,142.79
"'070200050705","County Ditch Number Three","'070200050706",139,1.417,139,1.417,139,1.417,98.072
"'070200060701","Judicial Ditch Number Three-Redwood River","'070200060702",108,1.151,108,1.151,108,1.151,93.86
"'070400030101","North Fork Buffalo River","'070400030102",551,7.064,551,7.064,551,7.064,77.999
"'070400030201","South Fork Elk Creek","'070400030202",214,3.248,214,3.248,214,3.248,65.885
"'070400030401","Danuser Valley-Waumandee Creek","'070400030403",157,1.779,157,1.779,157,1.779,88.236
"'070400030402","Little Waumandee Creek","'070400030403",286,2.206,286,2.206,286,2.206,129.67
"'070400030403","Irish Valley-Waumandee Creek","'070400030405",239,3.539,239,3.539,239,3.539,67.536
"'070400030405","Waumandee Creek","'070400030606",297,3.242,297,3.242,297,3.242,91.612
"'070200030305","Upper County Ditch Number Five","'070200030306",214,2.12,214,2.12,214,2.12,100.962
"'070200080303","Lower Plum Creek","'070200080406",321,2.62,321,2.62,321,2.62,122.541
"'070200090404","County Ditch Number Thirtyone-Coon Creek","'070200090803",72,1.368,72,1.368,72,1.368,52.638
"'070200030502","County Ditch Number Sixtynine","'070200030503",292,2.263,292,2.263,292,2.263,129.029
"'070200030202","Middle Lazarus Creek","'070200030205",353,4.226,353,4.226,482,5.771,83.528
"'070200030301","Headwaters West Branch Lac qui Parle River","'070200030307",188,4.105,188,4.105,188,4.105,45.797
"'070200030307","Bolland Slough-West Branch Lac qui Parle River","'070200030501",38,0.569,38,0.569,38,0.569,66.786
"'070200011101","Big Stone National Wildlife Refuge-Minnesota River","'070200011105",508,4.573,508,4.573,547,4.924,111.082
"'051201120302","McCown Branch","'051201120303",158,3.17,158,3.17,158,3.17,49.843
"'070200030102","Judicial Ditch Number Ninteen-Lac qui Parle River","'070200030106",361,3.593,361,3.593,361,3.593,100.474
"'070400050502","Keller Creek-Trempealeau River","'070400050504",226,2.688,226,2.688,226,2.688,84.085
"'070400070104","Headwaters Black River","'070400070106",993,8.103,1348,10.999,1649,13.456,122.552
"'070400050205","Town of Curran-Trempealeau River","'070400050206",249,3.138,249,3.138,249,3.138,79.349
"'070400050301","North Branch Elk Creek-Elk Creek","'070400050304",246,3.224,246,3.224,246,3.224,76.309
"'070400060301","Farmers Valley Creek","'070400060306",314,5.197,448,7.415,448,7.415,60.421
"'050902030501","Tub Creek-Laughery Creek","'050902030505",641,10.17,641,10.17,641,10.17,63.026
"'070400060303","Headwaters Little LaCrosse River","'070400060304",792,5.864,792,5.864,792,5.864,135.058
"'070400060304","Little LaCrosse River","'070400060306",627,7.877,627,7.877,627,7.877,79.602
"'070400060402","Neshonoc Creek-La Crosse River","'070400060403",817,9.089,817,9.089,817,9.089,89.886
"'070400060403","Smith Valley-La Crosse River","'070400060502",1760,23.016,1963,25.67,1963,25.67,76.47
"'070400070201","North Fork Popple River","'070400070202",1018,6.42,1018,6.42,1018,6.42,158.569
"'070400070202","South Fork Popple River","'070400070203",701,4.533,701,4.533,701,4.533,154.643
"'070400070402","Headwaters Rock Creek","'070400070403",278,4.199,278,4.199,278,4.199,66.202
"'050800030602","Clear Fork","'050800030604",309,7.541,309,7.541,309,7.541,40.977
"'070400070501","East Branch Wedges Creek-Wedges Creek","'070400070503",320,3.127,320,3.127,320,3.127,102.32
"'070400070602","Tomas Creek-East Fork Black River","'070400070603",386,3.086,386,3.086,386,3.086,125.097
"'070400070603","Turner River-East Fork Black River","'070400070605",138,1.92,138,1.92,138,1.92,71.88
"'070400070605","Indian Creek-East Black River","'070400070606",112,0.952,112,0.952,112,0.952,117.666
"'070400071102","North Fork Beaver Creek","'070400071104",670,5.091,670,5.091,670,5.091,131.594
"'070200051102","070200051102-Chippewa River","'070200051105",121,1.188,121,1.188,121,1.188,101.841
"'070400070802","South Fork Halls Creek-Halls Creek","'070400070803",759,6.205,759,6.205,759,6.205,122.319
"'070102050502","Middle Judicial Ditch Number Fifteen","'070102050503",668,8.723,668,8.723,668,8.723,76.576
"'070400070901","South Branch O'Neill Creek","'070400070902",497,8.222,497,8.222,497,8.222,60.449
"'070400070906","Lake Arbutus-Black River","'070400071004",842,6.761,842,6.761,842,6.761,124.54
"'070400071101","South Fork Beaver Creek","'070400071102",369,4.126,369,4.126,369,4.126,89.439
"'070400071208","Grant Creek-Black River","'070400071209",421,4.724,421,4.724,421,4.724,89.125
"'070400070606","Knutes Creek-East Fork Black River","'070400070608",125,1.052,125,1.052,125,1.052,118.854
"'070400070608","Brushy Ridge-East Fork Black River","'070400070906",60,0.872,60,0.872,60,0.872,68.808
"'070400070801","East Fork Halls Creek","'070400070802",371,5.384,371,5.384,371,5.384,68.908
"'070102060501","Medicine Lake-Bassett Creek","'070102060502",0,0,0,0,334,7.107,46.994
"'180702010002","Huntington Beach-Pacific Ocean","'OCEAN",0,0,0,0,0,0,105.564
"'070200051103","070200051103","'070200051105",73,0.93,73,0.93,73,0.93,78.514
"'070200060103","Judicial Ditch Number Thirtyone-Redwood River","'070200060301",92,1.486,92,1.486,92,1.486,61.913
"'180702020101","Upper South Fork San Jacinto River","'180702020104",425,2.572,425,2.572,425,2.572,165.269
"'070300040109","070300040109-Snake River","'070300040502",59,0.964,59,0.964,59,0.964,61.185
"'070102050501","Upper Judicial Ditch Number Fifteen","'070102050502",176,2.181,176,2.181,176,2.181,80.687
"'070102050503","Lower Judicial Ditch Number Fifteen","'070102050602",487,4.846,487,4.846,487,4.846,100.5
"'070102050601","County Ditch Number Thirtythree","'070102050602",120,1.932,120,1.932,120,1.932,62.105
"'070102050602","County Ditch Number Sixtyfour-Buffalo Creek","'070102050603",199,2.681,199,2.681,199,2.681,74.231
"'070101060405","Outlet Shell River","'070101060803",296,3.795,296,3.795,296,3.795,77.988
"'070102050604","Schilling Lake-Buffalo Creek","'070102050605",283,2.437,283,2.437,283,2.437,116.107
"'071300090607","Town of Union-Middle Fork Sugar Creek","'071300090705",65,1.862,65,1.862,65,1.862,34.906
"'070102050605","Outlet Buffalo Creek","'070102050701",1070,6.971,1668,10.867,2144,13.968,153.489
"'070101060601","Eleventh Crow Wing Lake-Crow Wing River","'070101060602",419,6.285,419,6.285,419,6.285,66.665
"'070102060304","Rice Lake-Rice Creek","'070102060305",1063,15.433,1666,24.187,2584,37.515,68.879
"'070102010202","Lower Spunk Creek","'070102010704",621,5.346,621,5.346,621,5.346,116.171
"'070101080501","County Ditch Number Twentyfive","'070101080502",162,2.034,162,2.034,162,2.034,79.647
"'070101060803","Mud Lake-Crow Wing River","'070101060806",143,1.384,143,1.384,143,1.384,103.302
"'070101080601","Fish Trap Lake-Fish Trap Creek","'070101080603",882,11.033,882,11.033,882,11.033,79.944
"'070102040103","County Ditch Number Seven","'070102040104",438,9.674,438,9.674,438,9.674,45.277
"'070102010201","Upper Spunk Creek","'070102010202",1132,12.006,1132,12.006,1132,12.006,94.286
"'070101070103","Gourd Lake","'070101070105",714,5.574,714,5.574,714,5.574,128.095
"'070101060806","Little Swamp Creek-Crow Wing River","'070101060809",256,1.874,256,1.874,256,1.874,136.6
"'070102030203","Threemile Creek","'070102030204",174,3.559,174,3.559,174,3.559,48.894
"'070101070102","County Ditch Number Fortynine","'070101070103",71,1.53,71,1.53,71,1.53,46.41
"'110200110705","110200110705","'110200110707",3,0.042,3,0.042,3,0.042,71.108
"'070101070304","Town of Leaf River-Leaf River","'070101070602",339,3.238,339,3.238,339,3.238,104.695
"'050800030801","Headwaters Blue Creek","'050800030802",406,8.567,406,8.567,406,8.567,47.392
"'070101070401","County Ditch Number Thirteen","'070101070402",649,9.489,649,9.489,649,9.489,68.395
"'030102040203","Couches Creek","'030102040204",564,12.961,564,12.961,564,12.961,43.517
"'070102010504","Outlet Little Rock Creek","'070102010705",956,13.071,956,13.071,956,13.071,73.138
"'070102040402","Lake Washington-Washington Creek","'070102040404",681,15.038,681,15.038,681,15.038,45.285
"'070102010603","County Ditch Number Twelve","'070102010604",413,7.954,413,7.954,413,7.954,51.925
"'070200080402","Judicial Ditch Number Nine","'070200080404",45,1.082,45,1.082,45,1.082,41.594
"'070101020204","Kabekona Lake-Kabekona River","'070101020501",766,9.292,766,9.292,766,9.292,82.437
"'070102010401","Platte Lake-Platte River","'070102010402",959,5.902,959,5.902,959,5.902,162.496
"'070200091003","Judicial Ditch Number Eightyfive","'070200091004",65,1.554,65,1.554,65,1.554,41.824
"'070101020305","Woman Lake-Boy River","'070101020403",1286,12.157,1286,12.157,1286,12.157,105.782
"'070101020407","Boy Lake-Boy River","'070101020408",304,2.78,304,2.78,304,2.78,109.364
"'070101020408","Skelly Lake-Boy River","'070101020507",65,1.344,65,1.344,65,1.344,48.368
"'070102020104","Osakis Lake-Sauk River","'070102020105",1124,11.61,1341,13.851,1341,13.851,96.816
"'100301011303","Rattlesnake Creek-Warm Springs Creek","'100301011306",99,1.847,99,1.847,99,1.847,53.596
"'070102030202","Lake Louisa-Clearwater River","'070102030204",1471,12.097,1471,12.097,1471,12.097,121.598
"'070101070601","Community of Central","'070101070602",250,2.814,250,2.814,250,2.814,88.832
"'070102020202","County Ditch Number Six","'070102020203",84,1.392,84,1.392,84,1.392,60.341
"'070102020302","Sauk Lake-Sauk River","'070102020304",1033,16.284,1214,19.138,1214,19.138,63.435
"'120100051005","Coon Bayou-Cow Bayou","'120100051100",2473,25.55,2473,25.55,3087,31.893,96.792
"'070102020501","County Ditch Number Fortyfour","'070102020502",304,4.261,304,4.261,304,4.261,71.347
"'070101020505","Turtle Lake","'070101020507",103,2.313,103,2.313,103,2.313,44.54
"'070101020604","Leech Lake River","'070101010903",45,0.485,45,0.485,45,0.485,92.778
"'070102030201","Clear Lake-Clearwater River","'070102030202",902,6.561,902,6.561,902,6.561,137.471
"'120302030202","Crooked Marsh-Whites Bayou","'120302030204",461,4.719,461,4.719,461,4.719,97.686
"'070102040203","County Ditch Number Thirtyseven","'070102040204",180,3.085,180,3.085,180,3.085,58.353
"'101500040901","Darr Bridge-Niobrara River","'101500040902",11,0.118,11,0.118,11,0.118,93.495
"'101500040902","Cornell Dam-Niobrara River","'101500040904",131,0.938,131,0.938,131,0.938,139.614
"'101500040907","Muleshoe Creek-Niobrara River","'101500040908",45,0.367,45,0.367,45,0.367,122.604
"'101500041002","Headwaters Rush Creek","'101500041003",6,0.101,6,0.101,6,0.101,59.37
"'101500041003","Rush Creek-Cedar Creek","'101500041005",24,0.414,24,0.414,24,0.414,58.017
"'070102040104","County Ditch Number Seven-North Fork Crow River","'070102040106",153,2.337,153,2.337,153,2.337,65.458
"'070102030403","County Ditch Number Thirteen-Saint Francis River","'070102030404",585,4.224,585,4.224,585,4.224,138.485
"'101500041201","Upper Bone Creek","'101500041203",345,2.734,345,2.734,345,2.734,126.191
"'070102040202","County Ditch Number B Six","'070102040204",104,2.325,104,2.325,104,2.325,44.722
"'070102040204","Lake Monongalia-Middle Fork Crow River","'070102040205",953,9.218,953,9.218,953,9.218,103.388
"'101500041203","Middle Bone Creek","'101500041204",884,8.34,884,8.34,884,8.34,106
"'101500041204","Lower Bone Creek","'101500041309",28,0.488,28,0.488,28,0.488,57.321
"'101500070504","Spencer Dam-Niobrara River","'101500070505",49,0.564,49,0.564,49,0.564,86.952
"'101500050101","Petes Lake","'101500050102",2,0.042,2,0.042,2,0.042,47.502
"'101500050203","North Valley-Snake River","'101500050502",9,0.093,9,0.093,9,0.093,96.581
"'101500050502","Indian Hill-Snake River","'101500050503",1,0.008,1,0.008,1,0.008,118.955
"'101500070505","Becker Reservoir Number 1-Niobrara River","'101500071003",26,0.464,26,0.464,26,0.464,56.01
"'101500071003","Red Otter Creek-Niobrara River","'101500071004",45,0.369,45,0.369,45,0.369,121.807
"'101500071005","Schindler Creek-Niobrara River","'101500071006",73,0.722,73,0.722,73,0.722,101.056
"'070102040209","Peterson Lake","'070102040210",548,8.334,548,8.334,548,8.334,65.754
"'070101040404","Little Willow River-Mississippi River","'070101040406",585,5.578,585,5.578,585,5.578,104.875
"'070102040303","Stag Brook-North Fork Crow River","'070102040306",236,2.406,236,2.406,236,2.406,98.101
"'070101010701","Lydick Brook-Mississippi River","'070101010704",37,0.489,37,0.489,37,0.489,75.589
"'070102040305","Jewitts Creek","'070102040306",1106,10.599,1106,10.599,1106,10.599,104.351
"'070102050202","Belle Creek","'070102050205",129,1.453,129,1.453,129,1.453,88.777
"'070102040403","County Ditch Number Thirtysix","'070102040404",283,3.593,283,3.593,283,3.593,78.756
"'080203020504","Whitsle Ditch-Big Creek Ditch","'080203020505",113,1.084,126,1.208,126,1.208,104.276
"'070102030204","Clearwater Lake-Clearwater River","'070102030205",1641,15.828,1641,15.828,2435,23.486,103.677
"'150200180803","Lower Ha Ho No Geh Canyon","'150200180804",0,0,0,0,0,0,132.673
"'150200180804","Coal Mine Canyon","'150200180805",0,0,0,0,0,0,114.887
"'150200180805","Water Thief Canyon-Moenkopi Wash","'150200181004",0,0,0,0,0,0,165.453
"'150200180902","Upper Hamblin Wash","'150200180904",0,0,0,0,0,0,159.137
"'150200180903","150200180903","'150200180904",0,0,0,0,0,0,57.44
"'150200180904","Lower Hamblin Wash","'150200181104",0,0,0,0,0,0,82.978
"'150200181001","Rough Point Wells","'150200181003",0,0,0,0,0,0,355.201
"'070102030205","Grass Lake-Clearwater River","'070102030601",968,22.922,968,22.922,968,22.922,42.23
"'070102040401","Sucker Creek-Washington Creek","'070102040402",444,9.625,444,9.625,444,9.625,46.131
"'150301041201","Clip Wash","'150301041203",1,0.045,1,0.045,1,0.045,22.3
"'070101010502","Lake Bemidji-Mississippi River","'070101010503",2860,20.928,3525,25.795,3525,25.795,136.657
"'070102030303","County Ditch Number Three","'070102030304",609,14.67,609,14.67,694,16.718,41.512
"'070102030304","Town of Parent-Elk River","'070102030503",497,5.354,497,5.354,497,5.354,92.828
"'070102050101","Lake Wakanda","'070102050104",568,5.629,941,9.325,941,9.325,100.911
"'070102040404","Maynard Lake-Washington Creek","'070102040602",220,4.365,220,4.365,220,4.365,50.4
