state_fips,state_abbr,state_name,block_groups,area_sqkm,hs_septic_count,ms_septic_count,ls_septic_count,rank_ms_count,ms_density_per_sqkm_statewide,rank_ms_density,ms_median_bg_density,ms_median_positive_bg_density,positive_ms_bg_pct,high_density_ms_bg_pct,med_predicted_septic_bg_pct,missing_parcel_bg_pct,homeowner_signal
01,AL,Alabama,3924,133896.844,1068670,1161532,1249614,10,8.675,20,2.417,15.967,52.78,18.65,52.8,0.05,High modern or localized signal
04,AZ,Arizona,4773,295233.134,332749,380733,448286,32,1.29,41,0.0,10.817,14.69,5.15,16.55,3.0,"Lower statewide signal, still property-specific"
05,AR,Arkansas,2294,137782.043,664493,713167,755509,23,5.176,28,1.859,9.381,56.76,16.78,56.76,0.04,High modern or localized signal
06,CA,California,25585,409841.342,974826,1110288,1269631,11,2.709,35,0.0,13.513,9.33,3.23,9.36,0.05,"Lower statewide signal, still property-specific"
08,CO,Colorado,4058,269599.646,427206,474556,514879,28,1.76,38,0.0,10.116,20.68,6.51,21.19,1.13,"Lower statewide signal, still property-specific"
09,CT,Connecticut,2712,12924.51,211743,281524,358273,37,21.782,1,0.0,36.809,23.16,16.67,23.23,0.04,High modern or localized signal
10,DE,Delaware,703,5207.201,77060,95428,112794,47,18.326,4,0.0,29.759,23.19,13.37,23.19,0.14,High modern or localized signal
11,DC,District of Columbia,571,176.936,0,0,0,49,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,"Lower statewide signal, still property-specific"
12,FL,Florida,13350,150931.102,966814,1173660,1416337,9,7.776,22,0.0,21.933,14.43,6.73,14.49,0.31,High modern or localized signal
13,GA,Georgia,7441,152570.708,1223155,1370984,1536073,6,8.986,18,0.0,18.557,34.54,13.88,34.58,0.34,High modern or localized signal
16,ID,Idaho,1284,216441.99,276478,294190,305999,36,1.359,40,0.0,6.835,39.72,8.96,39.88,0.7,Moderate property-specific signal
17,IL,Illinois,9896,145915.81,915099,1019093,1135482,15,6.984,24,0.0,11.01,19.45,6.43,19.45,0.04,"Lower statewide signal, still property-specific"
18,IN,Indiana,5287,93724.282,927968,1008263,1097635,16,10.758,13,0.0,14.165,34.95,10.93,34.95,0.0,High modern or localized signal
19,IA,Iowa,2703,145744.528,672245,725850,771564,22,4.98,29,0.0,6.861,48.91,14.8,48.91,0.0,High modern or localized signal
20,KS,Kansas,2461,213095.814,463736,487546,515213,27,2.288,36,0.0,7.72,35.11,8.7,35.11,0.0,Moderate property-specific signal
21,KY,Kentucky,3581,104652.433,920027,970734,1021766,17,9.276,17,1.405,11.695,50.43,11.64,51.24,1.51,High modern or localized signal
22,LA,Louisiana,4285,122014.714,608161,670131,746214,24,5.492,27,0.0,14.44,37.2,13.21,37.78,1.66,Moderate property-specific signal
23,ME,Maine,1178,84896.426,339838,356848,373297,33,4.203,31,4.713,15.967,57.98,17.15,67.49,11.97,High modern or localized signal
24,MD,Maryland,4069,26645.553,362111,420221,472866,30,15.771,5,0.0,28.143,18.78,10.27,18.85,0.27,High modern or localized signal
25,MA,Massachusetts,5112,21221.436,295825,401601,530609,31,18.924,3,0.0,40.94,14.18,10.45,14.3,0.14,High modern or localized signal
26,MI,Michigan,8344,150938.793,1299317,1409157,1520769,5,9.336,16,0.0,17.19,30.54,10.91,30.82,0.64,High modern or localized signal
27,MN,Minnesota,4703,218562.517,833765,886388,950116,19,4.056,32,0.0,8.703,33.91,9.82,33.91,0.04,Moderate property-specific signal
28,MS,Mississippi,2443,123479.863,712642,772288,836277,20,6.254,25,3.407,9.509,58.98,15.31,59.03,0.12,High modern or localized signal
